date	close
1-Feb-16	16.889999
25-Jan-16	17.889999
19-Jan-16	19.059999
11-Jan-16	20.959999
4-Jan-16	22.10
28-Dec-15	24.15
21-Dec-15	24.50
14-Dec-15	23.33
7-Dec-15	23.18
30-Nov-15	25.49
23-Nov-15	25.370001
16-Nov-15	25.879999
9-Nov-15	25.51
2-Nov-15	27.690001
26-Oct-15	27.950001
19-Oct-15	30.75
12-Oct-15	29.58
5-Oct-15	29.34
28-Sep-15	27.139999
21-Sep-15	27.41
14-Sep-15	28.450001
8-Sep-15	29.219999
31-Aug-15	28.309999
24-Aug-15	29.67
17-Aug-15	29.709999
10-Aug-15	32.41
3-Aug-15	33.77
27-Jul-15	35.02
20-Jul-15	33.220001
13-Jul-15	33.049999
6-Jul-15	31.91
29-Jun-15	31.52
22-Jun-15	32.25
15-Jun-15	30.26
8-Jun-15	32.040001
1-Jun-15	30.629999
26-May-15	30.209999
18-May-15	31.66
11-May-15	33.349998
4-May-15	32.419998
27-Apr-15	32.290001
20-Apr-15	34.259998
13-Apr-15	33.299999
6-Apr-15	35.16
30-Mar-15	35.700001
23-Mar-15	34.470001
16-Mar-15	34.150002
9-Mar-15	31.82
2-Mar-15	31.85
23-Feb-15	32.73
17-Feb-15	33.439999
9-Feb-15	32.290001
